NO,폐교명,주소,위도,경도,건물규모,토지규모,총 금액,현재 상태,음식점 수,편의점 수,카페 수,병원 수,주유소 수,숙박시설 수,음식점 점수,편의점 점수,카페 점수,병원 점수,주유소 점수,숙박시설 점수,총 점수,점수 순위
50,석곡초기룡분교장,전라남도 곡성군 목사동면 대곡리 1041,35.1099288,127.2624378,900.47,6966,129719,대부,33,2,3,2,2,4,101,94,77,99,88,62,521,22
51,석곡초명강분교장,전라남도 곡성군 석곡면 방송리 538,35.1715686,127.2580789,1152.97,15712,895203,대부,1,0,0,0,0,1,15,1,1,1,1,19,38,108
52,석곡초염곡분교장,전라남도 곡성군 석곡면 염곡리 1033,35.1504343,127.218444,465.5,6787,93836,미활용,0,0,0,0,0,1,1,1,1,1,1,19,24,112
53,오곡초명성분교장,전라남도 곡성군 오곡면 구성리 221,35.240977,127.2808994,376,5396,26245,대부,5,0,2,0,2,8,57,1,62,1,88,88,297,50
54,겸면초마삼분교장,전라남도 곡성군 겸면 마전리 566,35.2828136,127.1747877,875.8,12240.6,245756,대부,11,1,3,0,1,3,78,73,77,1,68,50,347,40
55,토지초문수분교장,전라남도 구례군 토지면 문수리 847,35.232125,127.5275485,217,55001,51109,대부,4,0,1,0,0,25,50,1,47,1,1,108,208,61
56,토지초외곡분교장,전라남도 구례군 토지면 외곡리 543,35.2043957,127.6036745,2501.42,5893,1519552,미활용,96,4,24,2,1,79,116,112,116,99,68,120,631,8
57,과역동초백일분교장,전라남도 고흥군 과역면 백일리 산908,34.6994388,127.4261435,211,5056,87175,미활용,0,0,0,0,0,3,1,1,1,1,1,50,55,99
58,나로고등학교,전라남도 고흥군 봉래면 신금리 838,34.4675805,127.4602077,3473.25,21377,1983207,대부,35,3,7,1,1,26,104,104,101,89,68,109,575,16
59,동강초매곡분교장,전라남도 고흥군 동강면 매곡리 413,34.8020544,127.3390158,1130,13278,105280,미활용,27,2,6,3,1,2,97,94,98,106,68,32,495,23
60,포두초포두동분교장,전라남도 고흥군 포두면 차동리 1183,34.5409855,127.3565429,638.51,98475,152189,대부,5,0,3,0,2,1,57,1,77,1,88,19,243,58
61,흥양초등학교,전라남도 고흥군 도화면 신호리 287-1,34.5297809,127.3026527,1243,16642,114690,대부,32,2,4,1,1,2,100,94,89,89,68,32,472,26
62,대서서초등학교,전라남도 고흥군 대서면 남정리 550,34.7740034,127.2582777,0,14223,76085,대부,5,0,0,0,1,2,57,1,1,1,68,32,160,70
63,남성초등학교,전라남도 고흥군 포두면 남성리 461,34.525637,127.40884,1514,14617,153596,대부,1,0,1,0,0,7,15,1,47,1,1,83,148,71
64,두원북초등학교,전라남도 고흥군 두원면 용당리 233,34.6905866,127.2610854,933,18460,89611,대부,4,0,0,0,0,4,50,1,1,1,1,62,116,86
65,두원중학교,전라남도 고흥군 두원면 대금리 242,34.6786853,127.2604854,1573.3,16952,217180,미활용,1,0,1,0,0,2,15,1,47,1,1,32,97,91
66,풍양초매곡분교장,전라남도 고흥군 풍양면 매곡리 638-11,34.5386928,127.21531,0,3401,16298,대부,1,0,0,0,0,1,15,1,1,1,1,19,38,108
